ISO3,Country,Year,Hypertension_Pct,Hypertension_Diagnosed_Pct,Hypertension_Treated_Pct,Hypertension_Controlled_Pct,Untreated_Stage2_Pct
COK,Cook Islands,2011,0.41778703187804145,0.520702836622537,0.4092127791191335,0.1473928107206415,0.19460719168665902
COK,Cook Islands,2012,0.41972189277682304,0.527262289679126,0.41109943137751603,0.1493260276579875,0.19462284034864252
COK,Cook Islands,2013,0.42129089212563653,0.5337024113906466,0.41261466129159396,0.1513674691548825,0.1948481813798595
COK,Cook Islands,2014,0.42264901305914304,0.5399612416363331,0.413764874385692,0.153505712228324,0.1952999547049835
COK,Cook Islands,2015,0.423857968767872,0.54589293964954,0.4146072470309995,0.1556694526202835,0.19599389308423248
COK,Cook Islands,2016,0.42496955377414247,0.5516069606235154,0.415448064261308,0.157931561931079,0.196845512310941
COK,Cook Islands,2017,0.426147281652909,0.5569182834906835,0.41586043295186403,0.1601515678670385,0.19792925882752999
COK,Cook Islands,2018,0.427303038130543,0.56203071473216,0.416332282003513,0.16285557701383102,0.199168136325783
COK,Cook Islands,2019,0.4284931083788215,0.567023106336907,0.41679494483977997,0.1660127694271915,0.200552762618671
FJI,Fiji,1990,0.315426323383878,0.370484854235443,0.272699793013519,0.0685652170639416,0.250768855728022
FJI,Fiji,1991,0.314664699977447,0.375958060884305,0.275387391108257,0.0685128201358684,0.24642581195296098
FJI,Fiji,1992,0.31406290483984345,0.381561392316599,0.278301730223144,0.0688321304014716,0.2421853051443005
FJI,Fiji,1993,0.313599918336887,0.38724801232307904,0.281466691818927,0.0695769520975363,0.23813218639554098
FJI,Fiji,1994,0.3132636908192845,0.393004298167069,0.28484589975778496,0.07077409467296975,0.234230698264492
FJI,Fiji,1995,0.313064971320834,0.398834557225217,0.288458097805664,0.0723641616109518,0.230500917319445
FJI,Fiji,1996,0.31310196276069946,0.404733336606238,0.2921478808755915,0.0742958316177525,0.22697211024512098
FJI,Fiji,1997,0.3133682561963935,0.4106117730138025,0.29600603431926953,0.07647723431897979,0.223693601021261
FJI,Fiji,1998,0.314014201339266,0.41643054031739,0.2998842202289855,0.07883459916985469,0.2207157713555635
FJI,Fiji,1999,0.315030703687759,0.4222121879656585,0.3037123312210545,0.0812463182640971,0.218050920478781
FJI,Fiji,2000,0.3164386833614265,0.427993798888822,0.307618020509829,0.0836984417284583,0.215728569134132
FJI,Fiji,2001,0.31830359467810854,0.43373402348610046,0.311540822386384,0.08622840805258795,0.2137558456729205
FJI,Fiji,2002,0.32061307743088097,0.439365004344615,0.315538021624099,0.08872621046971975,0.212203039275114
FJI,Fiji,2003,0.323412289567545,0.444839141813466,0.3194763768452205,0.09109237968709115,0.21108231236949399
FJI,Fiji,2004,0.32663116691384453,0.4501997237590325,0.3232364388702435,0.0933468013405877,0.2104101295885495
FJI,Fiji,2005,0.3302122400346235,0.455519846750323,0.3267320982306675,0.09540976257565159,0.2101888718966085
FJI,Fiji,2006,0.3341375803842275,0.46080772279388604,0.329909859005419,0.0972210634572021,0.2103969773211005
