ISO3,Country,Year,Underweight_Pct,HealthyWeight_Pct,Overweight_Pct,Obesity_Pct,Class1_Obesity_Pct,Class2_Obesity_Pct,Morbid_Obesity_Pct
TKL,Tokelau,2007,0.00444811074822885,0.09905688502995035,0.2433669326131359,0.6442851934469735,0.3101322718441557,0.2162571953265685,0.11789572627624931
TKL,Tokelau,2008,0.00436069602270925,0.0972247260523891,0.2404830401300138,0.6492157767630804,0.3094502268852015,0.2183663983206508,0.121399151557228
TKL,Tokelau,2009,0.0042834853608871,0.09543737067368124,0.23752393257100896,0.6541529588130317,0.3086884860912258,0.2204404173475863,0.12502405537421957
TKL,Tokelau,2010,0.00421763978943255,0.09374560907513099,0.23455527173347385,0.6589781535520047,0.30782470090068403,0.22240738335470606,0.12874606929661456
TKL,Tokelau,2011,0.00416282236198525,0.09214751454527034,0.23156556051291488,0.6637072105468502,0.3068169065451457,0.22433563783511357,0.13255466616659078
TKL,Tokelau,2012,0.004118781748521001,0.09061382895081735,0.2285651640843325,0.6683592921670062,0.30571763418933506,0.22623092941195724,0.13641072856571385
TKL,Tokelau,2013,0.00408452877273935,0.08914752667337744,0.22557018994966935,0.6729149344076503,0.3045126792748722,0.22808131496012712,0.140320940172651
TKL,Tokelau,2014,0.0040597135128598505,0.08772680397110345,0.22256646674450614,0.6774118510572227,0.3031722037739256,0.22995125175940168,0.14428839552389525
TKL,Tokelau,2015,0.0040448711779916,0.0863340745472437,0.21955242832508898,0.6818680751025465,0.3017272048357171,0.23185244746799505,0.1482884227988343
TKL,Tokelau,2016,0.00404100752334745,0.0849750448082795,0.21651507351196508,0.6862892690128279,0.3001740423089492,0.23376134206196325,0.1523538846419154
TKL,Tokelau,2017,0.0040498637303602505,0.08368871523961866,0.21344430279067994,0.6906456099465761,0.2984607973408307,0.23568884988839595,0.1564959627173492
TKL,Tokelau,2018,0.00407119388320005,0.08247559215372174,0.21038300130903806,0.6948950178935797,0.29659513272044036,0.23760828304767223,0.16069160212546701
TKL,Tokelau,2019,0.00410377962416015,0.08132579253791905,0.20732138263520264,0.6990581702921418,0.2945973773312764,0.23952740895220584,0.1649333840086595
TKL,Tokelau,2020,0.00414714599697295,0.08020479262444144,0.2042290314961095,0.7032017398620843,0.29252016524079416,0.2414434618106828,0.16923811281060724
TKL,Tokelau,2021,0.0042007974925207,0.0791210512360088,0.20111950382459992,0.7073068355626062,0.2903814082920143,0.2433499444787931,0.1735754827917988
TKL,Tokelau,2022,0.00426492704341945,0.07806293438378215,0.19800119974724295,0.7113757270649658,0.28818725746734625,0.24523464903979936,0.17795382055782
TKL,Tokelau,2023,0.0043390909013664,0.0770420069787719,0.19488566242453215,0.715386254641861,0.2859624772355752,0.2470612358333525,0.18236254157293308
TKL,Tokelau,2024,0.0044224192304495,0.07605871770144755,0.19178473173412475,0.7193261685761814,0.28368963797530056,0.24884420911805327,0.1867923214828274
TON,Tonga,1980,0.0096035639802425,0.2206027860198124,0.34394592919606803,0.4054692691603612,0.23278924955535465,0.11881442366602675,0.0538655959389797
TON,Tonga,1981,0.009100632468965749,0.21440061624405055,0.34309496078086266,0.4140410740175062,0.2364917235140985,0.12195706291335015,0.05559228759005745
