ISO3,Country,Year,Underweight_Pct,HealthyWeight_Pct,Overweight_Pct,Obesity_Pct,Class1_Obesity_Pct,Class2_Obesity_Pct,Morbid_Obesity_Pct,Diabetes_Pct,Diabetes_Treated_Pct,Hypertension_Pct,Hypertension_Diagnosed_Pct,Hypertension_Treated_Pct,Hypertension_Controlled_Pct,Untreated_Stage2_Pct,Dietary_Energy_kcal,Fat_g,Protein_g,Food_Imports_Export_Value_Pct,Population,Population_Thousands,Population_Density,Median_Age,Population_Growth_Rate
PLW,Palau,2022,1.5176114803485499,22.545116173010772,31.35618868808619,41.74728380776337,22.51350896618434,11.4036406464688,7.83013419511021,0.1593484162011165,0.4441448068187464,,,,,,,,,,17759.0,17.759,38.607,37.484,-0.124
PLW,Palau,2023,1.55506555879914,22.523356127155868,31.154849779166437,41.91240194830602,22.36609519750191,11.488863084523091,8.05744366628101,,,,,,,,,,,,17727.0,17.727,38.538,37.843,-0.231
PLW,Palau,2024,1.59549438130968,22.497773628797642,30.94786710361618,42.0827867055269,22.21720521160128,11.57509440062232,8.29048709330328,,,,,,,,,,,,,,,,
PYF,French Polynesia,1980,2.90897386235899,28.576296346446938,34.20376603836957,28.83521479322716,19.262517962354682,6.808686746161801,2.76401008471066,,,,,,,,,,,,156471.0,156.471,42.473,18.031,3.18
PYF,French Polynesia,1981,2.80846914380714,28.235905904911267,34.20012893429357,29.436257879037008,19.549702127153402,7.01411790686359,2.87243784502001,,,,,,,,,,,,161506.0,161.506,43.84,18.222,3.154
PYF,French Polynesia,1982,2.71113676764868,27.883705541881497,34.18253836867938,30.055705505035778,19.83700638575953,7.229091401609219,2.9896077176670097,,,,,,,,,,,,166646.0,166.646,45.235,18.431,3.113
PYF,French Polynesia,1983,2.61751564799057,27.524692535801982,34.152930507016585,30.686103366156008,20.12043994027518,7.451571269504099,3.11409215637671,,,,,,,,,,,,171750.0,171.75,46.62,18.666,2.922
PYF,French Polynesia,1984,2.52755052132539,27.16392087296017,34.10885380179871,31.324395008304766,20.39832433939254,7.68031661182339,3.24575405708881,,,,,,,,,,,,176469.0,176.469,47.901,18.927,2.505
PYF,French Polynesia,1985,2.44105460287628,26.80377417946905,34.05436494862772,31.9641285047023,20.66630161949676,7.91374594838438,3.3840809368211504,,,,,,,,,,,,180988.0,180.988,49.128,19.198,2.552
PYF,French Polynesia,1986,2.35832001740853,26.44784430443272,33.98873760715371,32.601726323627226,20.92318478653969,8.15022642626452,3.528315110823,,,,,,,,,,,,185669.0,185.669,50.399,19.464,2.555
